"Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239452835860284,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120240170192160284,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238347016050284,120238347016070284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239989810150284,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,70,Daily,120238347016050284,120238347016040284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239968509520284,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"Soulmate-abo-static-date_of_birth-1 – Copy",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,60,Daily,120238347016050284,120238347016030284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,6,0,2026-04-12,2026-04-12,"Using campaign budget",0,120239530590420284,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
Soulmate-abo-static-date_of_birth-1,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238347016050284,120238347015990284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239465472520284,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238347016050284,120238347015970284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239464684270284,120239464684300284,Soulmate-сbo-static-date_of_birth(1)-6,,
Soulmate-abo-static-date_of_birth-4,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238346020350284,120238346938850284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,7,0,2026-04-12,2026-04-12,"Using campaign budget",0,120239462815870284,120239462815850284,Soulmate-сbo-static-date_of_birth(1)-5,,
Soulmate-abo-static-date_of_birth-3,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,60,Daily,120238346020350284,120238346938830284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-video-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239305542660284,120239305542620284,Soulmate-сbo-video-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-2,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238346020350284,120238346938820284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,4,0,2026-04-12,2026-04-12,"Using campaign budget",0,120239286855920284,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
Soulmate-abo-static-date_of_birth-5,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,80,Daily,120238346020350284,120238346933490284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-heart-1x1-5,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,40,Daily,120239232921650284,120239233102640284,Soulmate-abo-static-heart-1x1-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,150,Daily,120238346020350284,120238346020370284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-heart-1x1-4,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,40,Daily,120239232921650284,120239233102630284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-4,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238232931510284,120238233933380284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-3,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,40,Daily,120239232921650284,120239233102620284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-3,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238232931510284,120238233933360284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-2,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,40,Daily,120239232921650284,120239233102610284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-2,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238232931510284,120238233933350284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,40,Daily,120239232921650284,120239233102600284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,50,Daily,120238232931510284,120238232931520284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-6,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,40,Daily,120239232921650284,120239232921680284,Soulmate-abo-static-heart-1x1-1,,
Soulmate-abo-video-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239164453290284,120239164453280284,Soulmate-сbo-video-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-12,2026-04-12,"Using campaign budget",0,120239103018930284,120239103018960284,Soulmate-сbo-static-date_of_birth-2,,
Soulmate-v2-abo-static-blur-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120241113584680284,120241113584710284,Soulmate-v2-abo-static-blur-1,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240956496910284,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
Starseed_ES_cbo_static_9x16_ES+LatAm-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120241042515200284,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240841338740284,120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
Starseed_ES_cbo_static_9x16_US-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120241042103500284,120241042103490284,Starseed_ES_cbo_static_9x16_US-1,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240841338740284,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
Starseed_ES_cbo_static_9x16_ww-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120241041219770284,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240639307440284,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240956496950284,120240956497100284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240588892110284,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240956496910284,120240956497090284,Soulmate-v2-сbo-static-date_of_birth-4,,
Soulmate-abo-static-date_of_birth-11,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240359756640284,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240956496950284,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-abo-static-date_of_birth-10,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240359668910284,120240359668980284,Soulmate-сbo-static-date_of_birth-10,,
"Post: ""Your ex could come back sooner than you think… 😳💔""",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,2,Daily,120239990229510284,120239990230080284,"Post: ""Your ex could come back sooner than you think… 😳💔""",,
Soulmate-abo-static-date_of_birth-9,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240353549380284,120240353549370284,Soulmate-сbo-static-date_of_birth-9,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239452835860284,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120240170192160284,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238347016050284,120238347016070284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239989810150284,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,70,Daily,120238347016050284,120238347016040284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239968509520284,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"Soulmate-abo-static-date_of_birth-1 – Copy",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,60,Daily,120238347016050284,120238347016030284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,7,actions:offsite_conversion.fb_pixel_purchase,43.5,304.5,7.143527,1.103443,38630,42626,1071,0.309766,2.306104,983,0.309766,2.306104,983,2.512551,0.284314,954,0.319182,2026-04-11,2026-04-11,"Using campaign budget",0,120239530590420284,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
Soulmate-abo-static-date_of_birth-1,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238347016050284,120238347015990284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239465472520284,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238347016050284,120238347015970284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239464684270284,120239464684300284,Soulmate-сbo-static-date_of_birth(1)-6,,
Soulmate-abo-static-date_of_birth-4,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238346020350284,120238346938850284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,9,actions:offsite_conversion.fb_pixel_purchase,34.37,309.33,34.221706,1.061414,8516,9039,371,0.943079,3.62872,328,0.943079,3.62872,328,4.104436,0.833774,400,0.773325,2026-04-11,2026-04-11,"Using campaign budget",0,120239462815870284,120239462815850284,Soulmate-сbo-static-date_of_birth(1)-5,,
Soulmate-abo-static-date_of_birth-3,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,60,Daily,120238346020350284,120238346938830284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-video-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239305542660284,120239305542620284,Soulmate-сbo-video-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-2,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238346020350284,120238346938820284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,41.3925,331.14,38.224634,1.041977,8314,8663,379,0.904754,4.224864,366,0.904754,4.224864,366,4.374928,0.87372,396,0.836212,2026-04-11,2026-04-11,"Using campaign budget",0,120239286855920284,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
Soulmate-abo-static-date_of_birth-5,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,80,Daily,120238346020350284,120238346933490284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-heart-1x1-5,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,40,Daily,120239232921650284,120239233102640284,Soulmate-abo-static-heart-1x1-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,150,Daily,120238346020350284,120238346020370284,Soulmate-abo-static-date_of_birth-1,,
Soulmate-abo-static-heart-1x1-4,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,40,Daily,120239232921650284,120239233102630284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-4,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238232931510284,120238233933380284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-3,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,40,Daily,120239232921650284,120239233102620284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-3,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238232931510284,120238233933360284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-2,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,40,Daily,120239232921650284,120239233102610284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-2,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238232931510284,120238233933350284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,40,Daily,120239232921650284,120239233102600284,Soulmate-abo-static-heart-1x1-1,,
Pastlife-sins-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,50,Daily,120238232931510284,120238232931520284,Pastlife-static-1-4-1,,
Soulmate-abo-static-heart-1x1-6,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,40,Daily,120239232921650284,120239232921680284,Soulmate-abo-static-heart-1x1-1,,
Soulmate-abo-video-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-11,2026-04-11,"Using campaign budget",0,120239164453290284,120239164453280284,Soulmate-сbo-video-date_of_birth-1,,
Soulmate-abo-static-date_of_birth-1,not_delivering,11,actions:offsite_conversion.fb_pixel_purchase,25.88181818,284.7,39.171712,1.059166,6862,7268,308,0.971672,4.03137,293,0.971672,4.03137,293,4.237755,0.924351,299,0.952174,2026-04-11,2026-04-11,"Using campaign budget",0,120239103018930284,120239103018960284,Soulmate-сbo-static-date_of_birth-2,,
Soulmate-v2-abo-static-blur-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120241113584680284,120241113584710284,Soulmate-v2-abo-static-blur-1,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240956496910284,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
Starseed_ES_cbo_static_9x16_ES+LatAm-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120241042515200284,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240841338740284,120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
Starseed_ES_cbo_static_9x16_US-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120241042103500284,120241042103490284,Starseed_ES_cbo_static_9x16_US-1,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240841338740284,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
Starseed_ES_cbo_static_9x16_ww-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120241041219770284,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240639307440284,120240639307400284,Soulmate-v2-сbo-static-date_of_birth-2,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240956496950284,120240956497100284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240588892110284,120240588892160284,Soulmate-v2-сbo-static-date_of_birth-1,,
"Soulmate-v2-abo-static-date_of_birth-1 – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240956496910284,120240956497090284,Soulmate-v2-сbo-static-date_of_birth-4,,
Soulmate-abo-static-date_of_birth-11,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240359756640284,120240359756600284,Soulmate-сbo-static-date_of_birth-11,,
Soulmate-v2-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240956496950284,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
Soulmate-abo-static-date_of_birth-10,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240359668910284,120240359668980284,Soulmate-сbo-static-date_of_birth-10,,
"Post: ""Your ex could come back sooner than you think… 😳💔""",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,2,Daily,120239990229510284,120239990230080284,"Post: ""Your ex could come back sooner than you think… 😳💔""",,
Soulmate-abo-static-date_of_birth-9,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240353549380284,120240353549370284,Soulmate-сbo-static-date_of_birth-9,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120239452835860284,120239452835910284,Soulmate-сbo-static-date_of_birth(1)-4,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120240170192160284,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,50,Daily,120238347016050284,120238347016070284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120239989810150284,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,70,Daily,120238347016050284,120238347016040284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120239968509520284,120239968509490284,Soulmate-сbo-static-date_of_birth(1)-6,,
"Soulmate-abo-static-date_of_birth-1 – Copy",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,60,Daily,120238347016050284,120238347016030284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120239530590420284,120239530590440284,"Soulmate-сbo-static-date_of_birth(1)-8 – ww",,
Soulmate-abo-static-date_of_birth-1,inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,50,Daily,120238347016050284,120238347015990284,Soulmate-abo-static-date_of_birth-2,,
Soulmate-abo-static-date_of_birth-1,not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,"Using campaign budget",0,120239465472520284,120239465472570284,Soulmate-сbo-static-date_of_birth(1)-7,,
"Soulmate-abo-static-date_of_birth-1 – Copy 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-10,2026-04-10,50,Daily,120238347016050284,120238347015970284,Soulmate-abo-static-date_of_birth-2,,
